18:11:15: Creating resource group General
18:11:15: Creating resource group Internal
18:11:15: Creating resource group Autodetect
18:11:15: SceneManagerFactory for type 'DefaultSceneManager' registered.
18:11:15: Registering ResourceManager for type Material
18:11:15: Registering ResourceManager for type Mesh
18:11:15: Registering ResourceManager for type Skeleton
18:11:15: MovableObjectFactory for type 'ParticleSystem' registered.
18:11:15: ArchiveFactory for archive type FileSystem registered.
18:11:15: ArchiveFactory for archive type Zip registered.
18:11:15: ArchiveFactory for archive type EmbeddedZip registered.
18:11:15: DDS codec registering
18:11:15: FreeImage version: 3.15.3
18:11:15: This program uses FreeImage, a free, open source image library supporting all common bitmap formats. See http://freeimage.sourceforge.net for details
18:11:15: Supported formats: bmp,ico,jpg,jif,jpeg,jpe,jng,koa,iff,lbm,mng,pbm,pbm,pcd,pcx,pgm,pgm,png,ppm,ppm,ras,tga,targa,tif,tiff,wap,wbmp,wbm,psd,cut,xbm,xpm,gif,hdr,g3,sgi,exr,j2k,j2c,jp2,pfm,pct,pict,pic,3fr,arw,bay,bmq,cap,cine,cr2,crw,cs1,dc2,dcr,drf,dsc,dng,erf,fff,ia,iiq,k25,kc2,kdc,mdc,mef,mos,mrw,nef,nrw,orf,pef,ptx,pxn,qtk,raf,raw,rdc,rw2,rwl,rwz,sr2,srf,srw,sti
18:11:15: Registering ResourceManager for type HighLevelGpuProgram
18:11:15: Registering ResourceManager for type Compositor
18:11:15: MovableObjectFactory for type 'Entity' registered.
18:11:15: MovableObjectFactory for type 'Light' registered.
18:11:15: MovableObjectFactory for type 'BillboardSet' registered.
18:11:15: MovableObjectFactory for type 'ManualObject' registered.
18:11:15: MovableObjectFactory for type 'BillboardChain' registered.
18:11:15: MovableObjectFactory for type 'RibbonTrail' registered.
18:11:15: *-*-* OGRE Initialising
18:11:15: *-*-* Version 1.9.0 (Ghadamon)
18:11:15: Loading library ./RenderSystem_Direct3D9.dll
18:11:15: Installing plugin: D3D9 RenderSystem
18:11:15: D3D9 : Direct3D9 Rendering Subsystem created.
18:11:15: D3D9: Driver Detection Starts
18:11:15: D3D9: Driver Detection Ends
18:11:15: Plugin successfully installed
18:11:15: CPU Identifier & Features
18:11:15: -------------------------
18:11:15:  *   CPU ID: GenuineIntel: Intel(R) Celeron(R) CPU 1000M @ 1.80GHz
18:11:15:  *      SSE: yes
18:11:15:  *     SSE2: yes
18:11:15:  *     SSE3: yes
18:11:15:  *      MMX: yes
18:11:15:  *   MMXEXT: yes
18:11:15:  *    3DNOW: no
18:11:15:  * 3DNOWEXT: no
18:11:15:  *     CMOV: yes
18:11:15:  *      TSC: yes
18:11:15:  *      FPU: yes
18:11:15:  *      PRO: yes
18:11:15:  *       HT: no
18:11:15: -------------------------
18:11:15: D3D9 : Subsystem Initialising
18:11:15: Registering ResourceManager for type Texture
18:11:15: Registering ResourceManager for type GpuProgram
18:11:15: ***************************************
18:11:15: *** D3D9 : Subsystem Initialised OK ***
18:11:16: D3D9: Vertex texture format supported - PF_R32G32B32_UINT
18:11:16: D3D9: Vertex texture format supported - PF_R32G32B32A32_UINT
18:11:16: D3D9: Vertex texture format supported - PF_R8_SINT
18:11:16: D3D9: Vertex texture format supported - PF_R8G8_SINT
18:11:16: D3D9: Vertex texture format supported - PF_R8G8B8_SINT
18:11:16: D3D9: Vertex texture format supported - PF_R8G8B8A8_SINT
18:11:16: D3D9: Vertex texture format supported - PF_R16_SINT
18:11:16: D3D9: Vertex texture format supported - PF_R16G16_SINT
18:11:16: D3D9: Vertex texture format supported - PF_R16G16B16_SINT
18:11:16: D3D9: Vertex texture format supported - PF_R16G16B16A16_SINT
18:11:16: D3D9: Vertex texture format supported - PF_R32_SINT
18:11:16: D3D9: Vertex texture format supported - PF_R32G32_SINT
18:11:16: D3D9: Vertex texture format supported - PF_R32G32B32_SINT
18:11:16: D3D9: Vertex texture format supported - PF_R32G32B32A32_SINT
18:11:16: D3D9: Vertex texture format supported - PF_R9G9B9E5_SHAREDEXP
18:11:16: D3D9: Vertex texture format supported - PF_BC4_UNORM
18:11:16: D3D9: Vertex texture format supported - PF_BC4_SNORM
18:11:16: D3D9: Vertex texture format supported - PF_BC5_UNORM
18:11:16: D3D9: Vertex texture format supported - PF_BC5_SNORM
18:11:16: D3D9: Vertex texture format supported - PF_BC6H_UF16
18:11:16: D3D9: Vertex texture format supported - PF_BC6H_SF16
18:11:16: D3D9: Vertex texture format supported - PF_BC7_UNORM
18:11:16: D3D9: Vertex texture format supported - PF_BC7_UNORM_SRGB
18:11:16: D3D9: Vertex texture format supported - PF_R8
18:11:16: D3D9: Vertex texture format supported - PF_RG8
18:11:16: D3D9: Vertex texture format supported - PF_R8_SNORM
18:11:16: D3D9: Vertex texture format supported - PF_R8G8_SNORM
18:11:16: D3D9: Vertex texture format supported - PF_R8G8B8_SNORM
18:11:16: D3D9: Vertex texture format supported - PF_R8G8B8A8_SNORM
18:11:16: D3D9: Vertex texture format supported - PF_R16_SNORM
18:11:16: D3D9: Vertex texture format supported - PF_R16G16_SNORM
18:11:16: D3D9: Vertex texture format supported - PF_R16G16B16_SNORM
18:11:16: D3D9: Vertex texture format supported - PF_R16G16B16A16_SNORM
18:11:16: D3D9: Vertex texture format supported - PF_ETC1_RGB8
18:11:16: D3D9: Vertex texture format supported - PF_ETC2_RGB8
18:11:16: D3D9: Vertex texture format supported - PF_ETC2_RGBA8
18:11:16: D3D9: Vertex texture format supported - PF_ETC2_RGB8A1
18:11:16: D3D9: Vertex texture format supported - PF_ATC_RGB
18:11:16: D3D9: Vertex texture format supported - PF_ATC_RGBA_EXPLICIT_ALPHA
18:11:16: D3D9: Vertex texture format supported - PF_ATC_RGBA_INTERPOLATED_ALPHA
18:11:16: RenderSystem capabilities
18:11:16: -------------------------
18:11:16: RenderSystem Name: Direct3D9 Rendering Subsystem
18:11:16: GPU Vendor: intel
18:11:16: Device Name: Monitor-1-Intel(R) HD Graphics
18:11:16: Driver Version: 10.18.10.3958
18:11:16:  * Fixed function pipeline: yes
18:11:16:  * Hardware generation of mipmaps: yes
18:11:16:  * Texture blending: yes
18:11:16:  * Anisotropic texture filtering: yes
18:11:16:  * Dot product texture operation: yes
18:11:16:  * Cube mapping: yes
18:11:16:  * Hardware stencil buffer: yes
18:11:16:    - Stencil depth: 8
18:11:16:    - Two sided stencil support: yes
18:11:16:    - Wrap stencil values: yes
18:11:16:  * Hardware vertex / index buffers: yes
18:11:16:  * Vertex programs: yes
18:11:16:  * Number of floating-point constants for vertex programs: 256
18:11:16:  * Number of integer constants for vertex programs: 16
18:11:16:  * Number of boolean constants for vertex programs: 16
18:11:16:  * Fragment programs: yes
18:11:16:  * Number of floating-point constants for fragment programs: 224
18:11:16:  * Number of integer constants for fragment programs: 16
18:11:16:  * Number of boolean constants for fragment programs: 16
18:11:16:  * Geometry programs: no
18:11:16:  * Number of floating-point constants for geometry programs: 0
18:11:16:  * Number of integer constants for geometry programs: 0
18:11:16:  * Number of boolean constants for geometry programs: 0
18:11:16:  * Tesselation Hull programs: no
18:11:16:  * Number of floating-point constants for tesselation hull programs: 0
18:11:16:  * Number of integer constants for tesselation hull programs: 0
18:11:16:  * Number of boolean constants for tesselation hull programs: 0
18:11:16:  * Tesselation Domain programs: no
18:11:16:  * Number of floating-point constants for tesselation domain programs: 0
18:11:16:  * Number of integer constants for tesselation domain programs: 0
18:11:16:  * Number of boolean constants for tesselation domain programs: 0
18:11:16:  * Compute programs: no
18:11:16:  * Number of floating-point constants for compute programs: 0
18:11:16:  * Number of integer constants for compute programs: 0
18:11:16:  * Number of boolean constants for compute programs: 0
18:11:16:  * Supported Shader Profiles: hlsl ps_1_1 ps_1_2 ps_1_3 ps_1_4 ps_2_0 ps_2_a ps_2_b ps_2_x ps_3_0 vs_1_1 vs_2_0 vs_2_a vs_2_x vs_3_0
18:11:16:  * Texture Compression: yes
18:11:16:    - DXT: yes
18:11:16:    - VTC: no
18:11:16:    - PVRTC: no
18:11:16:    - ATC: no
18:11:16:    - ETC1: no
18:11:16:    - ETC2: no
18:11:16:    - BC4/BC5: no
18:11:16:    - BC6H/BC7: no
18:11:16:  * Scissor Rectangle: yes
18:11:16:  * Hardware Occlusion Query: yes
18:11:16:  * User clip planes: yes
18:11:16:  * VET_UBYTE4 vertex element type: yes
18:11:16:  * Infinite far plane projection: yes
18:11:16:  * Hardware render-to-texture: yes
18:11:16:  * Floating point textures: yes
18:11:16:  * Non-power-of-two textures: yes
18:11:16:  * 1d textures: yes
18:11:16:  * Volume textures: yes
18:11:16:  * Multiple Render Targets: 4
18:11:16:    - With different bit depths: yes
18:11:16:  * Point Sprites: yes
18:11:16:  * Extended point parameters: yes
18:11:16:  * Max Point Size: 256
18:11:16:  * Vertex texture fetch: yes
18:11:16:  * Number of world matrices: 0
18:11:16:  * Number of texture units: 8
18:11:16:  * Stencil buffer depth: 8
18:11:16:  * Number of vertex blend matrices: 0
18:11:16:    - Max vertex textures: 4
18:11:16:    - Vertex textures shared: no
18:11:16:  * Render to Vertex Buffer : no
18:11:16:  * Hardware Atomic Counters: no
18:11:16:  * DirectX per stage constants: yes
18:11:16: DefaultWorkQueue('Root') initialising on thread 131c.
18:11:16: Particle Renderer Type 'billboard' registered
18:11:16: DefaultWorkQueue('Root')::WorkerFunc - thread 1394 starting.
18:11:16: DefaultWorkQueue('Root')::WorkerFunc - thread b0c starting.
18:11:16: OverlayElementFactory for type Panel registered.
18:11:16: OverlayElementFactory for type BorderPanel registered.
18:11:16: OverlayElementFactory for type TextArea registered.
18:11:16: Registering ResourceManager for type Font
18:11:16: Creating resource group Game
18:11:16: Added resource location './data' of type 'FileSystem' to resource group 'Game' with recursive option
18:11:16: Initialising resource group Game
18:11:16: Parsing scripts for resource group Game
18:11:16: Parsing script models/field_maps/0608/0608.material
18:11:16: Parsing script models/field_maps/0616/0616.material
18:11:16: Parsing script models/field_maps/0618/0618.material
18:11:16: Parsing script models/field_maps/0620/0620.material
18:11:16: Parsing script models/field_maps/0622/0622.material
18:11:16: Parsing script models/field_maps/0624/0624.material
18:11:16: Parsing script models/field_maps/0626/0626.material
18:11:16: Parsing script models/field_maps/0628/0628.material
18:11:16: Parsing script models/field_maps/0630/0630.material
18:11:16: Parsing script models/field_maps/0632/0632.material
18:11:16: Parsing script models/field_maps/0634/0634.material
18:11:16: Parsing script models/field_units/robo1.material
18:11:16: Parsing script models/field_units/weltall.material
18:11:16: Parsing script system/system.material
18:11:16: Parsing script system/system.fontdef
18:11:16: Finished parsing scripts for resource group Game
18:11:16: Creating resources for group Game
18:11:16: All done
18:11:16: Texture: system/courier_new_9_75.png: Loading 1 faces(PF_A8R8G8B8,256x256x1) with 0 generated mipmaps from Image. Internal format is PF_A8R8G8B8,256x256x1.
18:11:16: CameraManager started.
18:11:16: Creating viewport on target 'QGearsWindow', rendering from camera 'Camera', relative dimensions 8192L: 0 T: 0 W: 1 H: 1 Z-order: 0
18:11:16: Viewport for camera 'Camera', actual dimensions 8192L: 0 T: 0 W: 1280 H: 685
18:11:16: EntityManager created.
18:11:16: Mesh: Loading system/grid.mesh.
18:11:16: WARNING: system/grid.mesh is an older format ([MeshSerializer_v1.41]); you should upgrade it as soon as possible using the OgreMeshUpgrade tool.
18:11:16: Mesh: Loading system/axis.mesh.
18:11:16: WARNING: system/axis.mesh is an older format ([MeshSerializer_v1.41]); you should upgrade it as soon as possible using the OgreMeshUpgrade tool.
18:11:16: Created console width 1280, height 274
18:11:16: ScriptManager started.
18:11:16: Resized console width to 1280, height to 274
18:11:16: camera_speed changed to "0.01".
